,Text,Lemma,POS,Tag,Dependency,Alphabetical,Stopword
0,guide,guide,NOUN,NN,dobj,True,False
1,project,project,NOUN,NN,compound,True,False
2,management,management,NOUN,NN,compound,True,False
3,body,body,NOUN,NN,pobj,True,False
4,knowledge,knowledge,NOUN,NN,nmod,True,False
5,edition,edition,NOUN,NN,compound,True,False
6,risk,risk,NOUN,NN,compound,True,False
7,plan,plan,NOUN,NN,pobj,True,False
8,process,process,NOUN,NN,attr,True,False
9,ning,ning,NOUN,NN,pobj,True,False
10,conduct,conduct,VERB,VB,relcl,True,False
11,activities,activity,NOUN,NNS,dobj,True,False
12,bene,bene,NOUN,NN,compound,True,False
13,is,be,VERB,VBZ,conj,True,True
14,ensures,ensure,VERB,VBZ,ccomp,True,False
15,degree,degree,NOUN,NN,compound,True,False
16,type,type,NOUN,NN,nsubj,True,False
17,visibility,visibility,NOUN,NN,conj,True,False
18,risks,risk,NOUN,NNS,pobj,True,False
19,importance,importance,NOUN,NN,conj,True,False
20,organization,organization,NOUN,NN,pobj,True,False
21,communicate,communicate,VERB,VB,xcomp,True,False
22,obtain,obtain,VERB,VB,conj,True,False
23,agreement,agreement,NOUN,NN,dobj,True,False
24,support,support,NOUN,NN,conj,True,False
25,stakeholders,stakeholder,NOUN,NNS,pobj,True,False
26,ensure,ensure,VERB,VB,advcl,True,False
27,supported,support,VERB,VBN,ccomp,True,False
28,performed,perform,VERB,VBN,conj,True,False
29,life,life,NOUN,NN,compound,True,False
30,cycle,cycle,VERB,VB,pobj,True,False
31,inputs,input,NOUN,NNS,compound,True,False
32,tools,tool,NOUN,NNS,dobj,True,False
33,techniques,technique,NOUN,NNS,conj,True,False
34,outputs,output,NOUN,NNS,conj,True,False
35,depicted,depict,VERB,VBN,conj,True,False
36,figure,figure,NOUN,NN,compound,True,False
37,depicts,depict,VERB,VBZ,xcomp,True,False
38,data,data,NOUN,NN,compound,True,False
39,charter,charter,NOUN,NN,compound,True,False
40,stakeholder,stakeholder,NOUN,NN,nsubj,True,False
41,register,register,VERB,VB,conj,True,False
