,Text,Lemma,POS,Tag,Dependency,Alphabetical,Stopword
0,guide,guide,NOUN,NN,dobj,True,False
1,project,project,NOUN,NN,compound,True,False
2,management,management,NOUN,NN,compound,True,False
3,body,body,NOUN,NN,pobj,True,False
4,knowledge,knowledge,NOUN,NN,pobj,True,False
5,edition,edition,NOUN,NN,compound,True,False
6,risk,risk,NOUN,NN,compound,True,False
7,perform,perform,VERB,VB,ROOT,True,False
8,analysis,analysis,NOUN,NN,nsubj,True,False
9,is,be,VERB,VBZ,conj,True,True
10,process,process,NOUN,NN,attr,True,False
11,prioritizing,prioritize,VERB,VBG,pcomp,True,False
12,risks,risk,NOUN,NNS,dobj,True,False
13,action,action,NOUN,NN,conj,True,False
14,assessing,assess,VERB,VBG,pcomp,True,False
15,combining,combine,VERB,VBG,conj,True,False
16,probability,probability,NOUN,NN,dobj,True,False
17,occurrence,occurrence,NOUN,NN,pobj,True,False
18,impact,impact,VERB,VB,conj,True,False
19,bene,bene,NOUN,NN,compound,True,False
20,enables,enable,VERB,VBZ,ccomp,True,False
21,managers,manager,NOUN,NNS,dobj,True,False
22,reduce,reduce,VERB,VB,xcomp,True,False
23,level,level,NOUN,NN,dobj,True,False
24,uncertainty,uncertainty,NOUN,NN,pobj,True,False
25,focus,focus,VERB,VB,conj,True,False
26,priority,priority,NOUN,NN,compound,True,False
27,inputs,input,NOUN,NNS,compound,True,False
28,tools,tool,NOUN,NNS,nsubjpass,True,False
29,techniques,technique,NOUN,NNS,conj,True,False
30,outputs,output,NOUN,NNS,conj,True,False
31,depicted,depict,VERB,VBN,ccomp,True,False
32,figure,figure,NOUN,NN,compound,True,False
33,depicts,depict,VERB,VBZ,xcomp,True,False
34,data,data,NOUN,NN,compound,True,False
35,plan,plan,NOUN,NN,dobj,True,False
36,scope,scope,VERB,VB,conj,True,False
37,baseline,baseline,NOUN,NN,compound,True,False
38,register,register,VERB,VB,dobj,True,False
39,enterprise,enterprise,NOUN,NN,nmod,True,False
40,factors,factor,NOUN,NNS,dative,True,False
41,assets,asset,NOUN,NNS,appos,True,False
