,Text,Lemma,POS,Tag,Dependency,Alphabetical,Stopword
0,guide,guide,NOUN,NN,dobj,True,False
1,project,project,NOUN,NN,compound,True,False
2,management,management,NOUN,NN,compound,True,False
3,body,body,NOUN,NN,pobj,True,False
4,knowledge,knowledge,NOUN,NN,nmod,True,False
5,edition,edition,NOUN,NN,compound,True,False
6,risk,risk,NOUN,NN,compound,True,False
7,control,control,NOUN,NN,nmod,True,False
8,risks,risk,NOUN,NNS,pobj,True,False
9,process,process,NOUN,NN,attr,True,False
10,implementing,implement,VERB,VBG,pcomp,True,False
11,response,response,NOUN,NN,compound,True,False
12,plans,plan,VERB,VBZ,ccomp,True,False
13,tracking,track,VERB,VBG,xcomp,True,False
14,monitoring,monitor,VERB,VBG,acl,True,False
15,identifying,identify,VERB,VBG,acl,True,False
16,evaluating,evaluate,VERB,VBG,conj,True,False
17,effectiveness,effectiveness,NOUN,NN,dobj,True,False
18,bene,bene,NOUN,NN,compound,True,False
19,is,be,VERB,VBZ,conj,True,True
20,improves,improve,VERB,VBZ,ccomp,True,False
21,ef,ef,NOUN,NN,compound,True,False
22,ciency,ciency,NOUN,NN,dobj,True,False
23,approach,approach,NOUN,NN,pobj,True,False
24,life,life,NOUN,NN,compound,True,False
25,cycle,cycle,NOUN,NN,pobj,True,False
26,optimize,optimize,VERB,VB,advcl,True,False
27,responses,response,NOUN,NNS,dobj,True,False
28,inputs,input,NOUN,NNS,compound,True,False
29,tools,tool,NOUN,NNS,dobj,True,False
30,techniques,technique,NOUN,NNS,conj,True,False
31,outputs,output,NOUN,NNS,conj,True,False
32,depicted,depict,VERB,VBN,conj,True,False
33,figure,figure,NOUN,NN,compound,True,False
34,depicts,depict,VERB,VBZ,ccomp,True,False
35,data,data,NOUN,NN,compound,True,False
36,plan,plan,VERB,VBP,compound,True,False
37,register,register,VERB,VB,ccomp,True,False
38,work,work,NOUN,NN,compound,True,False
39,performance,performance,NOUN,NN,compound,True,False
40,reports,report,VERB,VBZ,dobj,True,False
41,reassessment,reassessment,NOUN,NN,compound,True,False
