,Text,Lemma,POS,Tag,Dependency,Alphabetical,Stopword
0,practice,practice,NOUN,NN,compound,True,False
1,standard,standard,NOUN,NN,nsubj,True,False
2,project,project,NOUN,NN,compound,True,False
3,risk,risk,NOUN,NN,compound,True,False
4,management,management,NOUN,NN,compound,True,False
5,isbn,isbn,NOUN,NN,pobj,True,False
6,published,publish,VERB,VBN,acl,True,False
7,e,e,NOUN,NN,compound,True,False
8,mail,mail,NOUN,NN,compound,True,False
9,customercare,customercare,NOUN,NN,nmod,True,False
10,org,org,NOUN,NN,compound,True,False
11,internet,internet,NOUN,NN,compound,True,False
12,www,www,NOUN,NN,nmod,True,False
13,rights,right,NOUN,NNS,npadvmod,True,False
14,reserved,reserve,VERB,VBN,acl,True,False
15,fipmifl,fipmifl,NOUN,NN,prep,True,False
16,logo,logo,NOUN,NN,nsubj,True,False
17,fipmpfl,fipmpfl,VERB,VBZ,ROOT,True,False
18,fipgmpfl,fipgmpfl,NOUN,NN,nmod,True,False
19,fiproject,fiproject,NOUN,NN,compound,True,False
20,journalfl,journalfl,NOUN,NN,nmod,True,False
21,networkfl,networkfl,NOUN,NN,dobj,True,False
22,today,today,NOUN,NN,compound,True,False
23,are,be,VERB,VBP,conj,True,True
24,registered,register,VERB,VBN,amod,True,False
25,marks,mark,NOUN,NNS,attr,True,False
26,quarter,quarter,NOUN,NN,compound,True,False
27,globe,globe,NOUN,NN,compound,True,False
28,design,design,NOUN,NN,nsubj,True,False
29,is,be,VERB,VBZ,conj,True,True
30,trademark,trademark,NOUN,NN,attr,True,False
31,list,list,NOUN,NN,pobj,True,False
32,pmi,pmi,NOUN,NN,compound,True,False
33,contact,contact,VERB,VBP,pobj,True,False
34,department,department,NOUN,NN,compound,True,False
35,publications,publication,NOUN,NNS,nsubj,True,False
36,welcomes,welcome,VERB,VBZ,conj,True,False
37,corrections,correction,NOUN,NNS,dobj,True,False
38,comments,comment,NOUN,NNS,conj,True,False
39,books,book,NOUN,NNS,pobj,True,False
40,feel,feel,VERB,VB,ccomp,True,False
41,send,send,VERB,VB,xcomp,True,False
42,formatting,formatting,NOUN,NN,pobj,True,False
43,errors,error,NOUN,NNS,conj,True,False
44,make,make,VERB,VBP,advcl,True,True
45,copy,copy,NOUN,NN,dobj,True,False
46,page,page,NOUN,NN,pobj,True,False
47,book,book,NOUN,NN,pobj,True,False
48,mark,mark,VERB,VBP,ccomp,True,False
49,error,error,NOUN,NN,dobj,True,False
50,editor,editor,NOUN,NN,compound,True,False
51,inquire,inquire,VERB,VB,advcl,True,False
52,discounts,discount,NOUN,NNS,pobj,True,False
53,resale,resale,NOUN,NN,pobj,True,False
54,purposes,purpose,NOUN,NNS,conj,True,False
55,service,service,NOUN,NN,compound,True,False
56,center,center,NOUN,NN,nmod,True,False
57,p,p,NOUN,NN,appos,True,False
58,fax,fax,NOUN,NN,conj,True,False
59,orders,order,NOUN,NNS,compound,True,False
60,printed,print,VERB,VBN,acl,True,False
61,part,part,NOUN,NN,nsubjpass,True,True
62,work,work,NOUN,NN,pobj,True,False
63,reproduced,reproduce,VERB,VBN,conj,True,False
64,transmitted,transmit,VERB,VBN,conj,True,False
65,form,form,NOUN,NN,pobj,True,False
66,means,mean,NOUN,NNS,pobj,True,False
67,manual,manual,NOUN,NN,dobj,True,False
68,photocopying,photocopy,VERB,VBG,acl,True,False
69,recording,recording,NOUN,NN,dobj,True,False
70,information,information,NOUN,NN,compound,True,False
71,storage,storage,NOUN,NN,pobj,True,False
72,retrieval,retrieval,NOUN,NN,compound,True,False
73,system,system,NOUN,NN,conj,True,False
74,written,write,VERB,VBN,amod,True,False
75,permission,permission,NOUN,NN,pobj,True,False
76,publisher,publisher,NOUN,NN,pobj,True,False
77,paper,paper,NOUN,NN,appos,True,False
78,used,use,VERB,VBN,acl,True,True
79,complies,comply,VERB,VBZ,acl,True,False
80,issued,issue,VERB,VBN,acl,True,False
81,standards,standard,NOUN,NNS,compound,True,False
82,notice,notice,VERB,VB,conj,True,False
83,guideline,guideline,NOUN,NN,compound,True,False
84,document,document,NOUN,NN,nsubj,True,False
85,contained,contain,VERB,VBD,relcl,True,False
86,herein,herein,NOUN,NN,advmod,True,True
87,developed,develop,VERB,VBN,conj,True,False
88,consensus,consensus,NOUN,NN,compound,True,False
89,development,development,NOUN,NN,compound,True,False
90,process,process,NOUN,NN,pobj,True,False
